	Acceleration	Available from	Braking	Default Radio Stations	Discounted Price	Drive Train	Game Edition	Gears	Handling	Manufacturer	Mass / Weight	Notes	Overall	Purchase Price	Release Date	Seats	Sell	Sell Price - Resale	Sell Price - Stolen	Speed	Storage Location	Title Update	Top Speed	Variants	Vehicle Class	Vehicle Features
akula.html	100.00	Warstock Cache & Carry			2785000		GTA Online - Next Gen		100.00		8000	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Doomsday Heist Mission. Requires a Facility Property.	92.25	3704050	December 12, 2017	4	Can be sold only if purchased (High-End)	2222430		76.75	Hangar (Personal Aircraft)	1.42 The Doomsday Heist	160		Helicopters	Armed Vehicle
albany-alpha.html	85.00	Legendary Motorsport	33.33	Radio Los Santos, The Lab, West Coast Classics		RWD	All Editions	6	77.27	Albany	1800		69.69	150000	March 4, 2014	2	Can be sold only if purchased (High-End)	90000		83.17	Garage (Personal Vehicle)	1.11 Business	150		Sports	
albany-buccaneer-custom.html	70.00	Benny's Original Motor Works	26.67			RWD	GTA Online - Next Gen	5	65.15	Albany	1600	Obtained by upgrading the regular vehicle to the custom variant at Benny's Original Motor Works	60.04	390000	October 20, 2015	2	Can be sold only if purchased (High-End)	234000		78.34	Garage (Personal Vehicle)	1.30 Lowriders	146		Muscle	Custom Vehicle
albany-buccaneer.html	70.00	Can be stolen / found, Benny's Original Motor Works	26.67	Channel X		RWD	All Editions	5	65.15	Albany	1600		60.04	29000	September 17, 2013	2	Can be sold if purchased or stolen	17400	2900	78.34	Garage (Personal Vehicle)	1.01 Game Launch	146	Gang Variants (Cannot be purchased)	Muscle	
albany-cavalcade-ii.html	50.00	Can be stolen / found, Southern S.A. Super Autos	20.00			AWD	All Editions	4	57.58	Albany	2400		48.93	70000	September 17, 2013	4	Can be sold if purchased or stolen	42000	7000	68.14	Garage (Personal Vehicle)	1.01 Game Launch	127		SUVs	
albany-cavalcade.html	50.00	Can be stolen / found, Southern S.A. Super Autos	20.00	Worldwide FM		AWD	All Editions	4	57.58	Albany	2400		48.93	60000	September 17, 2013	4	Can be sold if purchased or stolen	36000	6000	68.14	Garage (Personal Vehicle)	1.01 Game Launch	127		SUVs	
albany-emperor.html	35.00	Can be stolen / found	20.00	Radio Los Santos, The Lab, West Coast Classics		RWD	All Editions	5	57.58	Albany	1900		44.24		September 17, 2013	4	Can be sold only if stolen		800	64.39	Garage (Personal Vehicle)	1.01 Game Launch	120	Beater Variant (rusty); Snow Variant (North Yankton - cannot be purchased)	Sedans	
albany-franken-stange.html	88.75	Southern S.A. Super Autos	18.33			RWD	GTA Online - Next Gen	4	58.79	Albany	1800	Available to be purchased only during the annual Halloween Special	59.58	550000	October 29, 2015	4	Can be sold only if purchased (High-End)	330000		72.43	Garage (Personal Vehicle)	1.30 Halloween Surprise	135		Sports Classic	
albany-hermes.html	71.25	Southern S.A. Super Autos	25.83	East Los FM		RWD	GTA Online - Next Gen	4	71.97	Albany	1300	Players who logged to GTA Online on December 25, 2017 received the vehicle for free.	60.64	535000	December 25, 2017	2	Can be sold only if purchased (High-End)	321000		73.51	Garage (Personal Vehicle)	1.42 The Doomsday Heist	137		Muscle	
albany-lurcher.html	72.50	Southern S.A. Super Autos	26.67			RWD	GTA Online - Next Gen	5	65.15	Albany	1800	Available to be purchased only during the annual Halloween Special	60.66	650000	October 29, 2015	2	Can be sold only if purchased (High-End)	390000		78.34	Garage (Personal Vehicle)	1.30 Halloween Surprise	146		Muscle	
albany-manana.html	40.00	Can be stolen / found	8.33	East Los FM		RWD	All Editions	4	59.09	Albany	2100		44.29		September 17, 2013	2	Can be sold only if stolen		800	69.75	Garage (Personal Vehicle)	1.01 Game Launch	130	Gang Variants (Cannot be purchased)	Sports Classic	
albany-primo-custom.html	50.00	Benny's Original Motor Works	30.00			RWD	GTA Online - Next Gen	5	71.21	Albany	1800	Obtained by upgrading the regular vehicle to the custom variant at Benny's Original Motor Works	56.58	400000	October 20, 2015	4	Can be sold only if purchased (High-End)	240000		75.12	Garage (Personal Vehicle)	1.30 Lowriders	140		Sedans	Custom Vehicle
albany-primo.html	50.00	Can be stolen / found, Southern S.A. Super Autos, Benny's Original Motor Works	30.00	FlyLo FM, Soulwax FM		RWD	All Editions	5	71.21	Albany	1800		56.58	9000	September 17, 2013	4	Can be sold if purchased or stolen	5400	900	75.12	Garage (Personal Vehicle)	1.01 Game Launch	140		Sedans	
albany-roosevelt-valor.html	67.50	Legendary Motorsport	18.33			RWD	GTA Online - Next Gen	4	63.64	Albany	2420		54.13	982000	February 10, 2016	6	Can be sold only if purchased (High-End)	589200		67.07	Garage (Personal Vehicle)	1.32 Be My Valentine	125		Sports Classic	
albany-roosevelt.html	67.50	Legendary Motorsport	18.33			RWD	All Editions	4	63.64	Albany	2400		54.13	750000	February 13, 2014	6	Can be sold only if purchased (High-End)	450000		67.07	Garage (Personal Vehicle)	1.10 Valentine's Day Massacre	125		Sports Classic	
albany-virgo.html	70.00	Legendary Motorsport	26.67			RWD	All Editions	5	77.58	Albany	2200		62.34	195000	June 10, 2015	2	Can be sold only if purchased (High-End)	117000		75.12	Garage (Personal Vehicle)	1.27 Ill-Gotten Gains Part 1	134		Muscle	
albany-washington.html	50.00	Can be stolen / found, Southern S.A. Super Autos	30.00	Los Santos Rock Radio, Radio Mirror Park, Vinewood Boulevard Radio		RWD	All Editions	5	74.24	Albany	1800		57.34	15000	September 17, 2013	4	Can be sold if purchased or stolen	9000	1500	75.12	Garage (Personal Vehicle)	1.01 Game Launch	140		Sedans	
annis-elegy-retro-custom.html	82.50	Benny's Original Motor Works	33.33	FlyLo FM, Soulwax FM		AWD	GTA Online - Next Gen	5	81.82	Annis	1450	Obtained by upgrading the regular vehicle to the custom variant at Benny's Original Motor Works	69.27	904000	December 13, 2016	2	Can be sold only if purchased (High-End)	542400		79.41	Garage (Personal Vehicle)	1.37 Import/Export	148		Sports	Custom Vehicle
